Designator,Footprint,Quantity,Value,LCSC Part #
C101,CP_Elec_6.3x7.7,1,100uf/25v,
C102,0805,1,10uf/25V X5R,
C103,0402,1,2.2nF,
C104,0402,1,10nF,
"C105, C106, C107, C108, C207, C307",1206,6,22uF/25V,
"C109, C112, C114, C201, C202, C204, C206, C208, C209, C210, C211, C212, C213, C301, C302, C304, C306, C308, C309, C310, C311, C312, C313",0402,23,0.1uF,
C110,0805,1,10uf,
C111,0805,1,22uf,
"C113, C203, C205, C303, C305",0402,5,1uF,
D101,D_SMA,1,SS34,
D102,D_SMB,1,SS54,
J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04,
J101,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02,
"J201, J301",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,YOKE,
L101,L_12x12mm_H6mm,1,6.8µH ≥5A,
L102,L_Bourns_SRN6045TA,1,4.7µH,
R101,0402,1,137K,
"R102, R103, R105, R208, R308",0402,5,10K,
R104,0402,1,53.6K,
R106,0402,1,78.7K,
"R201, R301",2512,2,PARAM (~0.1Ω 2512),
"R202, R302",0402,2,25K,
"R203, R303",0402,2,20K,
"R204, R207, R304, R307",0402,4,100K,
"R205, R305",0402,2,1K,
"R206, R306",0402,2,PARAM (~100k),
"RV201, RV202, RV301, RV302",Potentiometer_Bourns_3339H_Vertical,4,10K,
U101,PWP14,1,TPS55340PWPR,
U102,TSOT-23-6,1,AP63205WU,
U103,DCK3,1,REF3325AIDCKT,
"U201, U202, U301, U302",DPC0008A,4,CSD97394Q4M,
"U203, U303",SOIC-8_3.9x4.9mm_P1.27mm,2,INA240A1D,
"U204, U304",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA2196xD,
"U205, U305",SOIC-8_3.9x4.9mm_P1.27mm,2,TLV3501AID,
"U206, U306",SOT-23-5,2,74LVC1G04,
"U207, U208, U307, U308",SOT-23-5,4,74LVC1G08,
